town,county,acs_year,acs_population,climate_safe_housing_mvp_score,housing_need_score,social_vulnerability_score,infrastructure_efficiency_proxy_score,resilience_investment_priority_score,mvp_priority_lane,key_drivers,pct_cost_burdened_households,pct_cost_burdened_renter_households,pct_below_poverty,pct_zero_vehicle_households,pct_65_plus,pct_with_disability,pct_under_18,pct_seasonal_housing_units,pct_long_commute_workers,pct_no_internet_or_subscription_households,hazard_overlay_status
Lebanon,York,2024,6629,39.55,43.3,26.73,40.39,33.78,monitor and screen after hazard-layer ingestion,long commutes; children/family demand; renter cost burden; housing cost burden,34.82,35.71,7.38,2.25,12.91,9.79,24.12,1.86,25.64,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Wells,York,2024,11713,39.54,55.38,33.49,45.15,42.29,monitor and screen after hazard-layer ingestion,seasonal housing pressure; renter cost burden; older adults; housing cost burden,27.96,42.11,6.78,1.22,30.97,13.01,18.0,43.2,13.78,0.63,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Osborn,Hancock,2024,88,39.49,69.22,48.53,25.75,60.83,resilience-first housing and infrastructure planning,renter cost burden; seasonal housing pressure; long commutes; housing cost burden,44.9,100.0,9.09,0.0,31.82,29.55,9.09,45.45,50.0,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Dixmont,Penobscot,2024,1207,39.41,38.51,32.56,46.54,27.03,monitor and screen after hazard-layer ingestion,renter cost burden; disability; children/family demand; housing cost burden,21.58,42.22,7.87,2.06,19.39,18.69,15.91,3.25,10.66,0.56,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Hiram,Oxford,2024,1748,39.41,54.94,45.36,27.63,50.14,monitor and screen after hazard-layer ingestion,renter cost burden; long commutes; disability; children/family demand,27.38,56.41,12.59,4.48,15.73,29.75,20.94,14.49,31.2,1.54,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Leeds,Androscoggin,2024,2285,39.4,46.29,39.44,35.54,39.86,monitor and screen after hazard-layer ingestion,children/family demand; poverty; long commutes; renter cost burden,25.1,27.08,19.75,2.71,14.84,11.52,30.59,7.45,24.33,0.65,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Harrison,Cumberland,2024,2513,39.37,55.07,47.66,36.65,48.15,monitor and screen after hazard-layer ingestion,seasonal housing pressure; poverty; older adults; renter cost burden,26.68,27.52,19.1,0.39,29.81,16.67,9.07,27.64,17.11,3.55,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Southport,Lincoln,2024,550,39.34,60.07,46.28,37.46,48.53,monitor and screen after hazard-layer ingestion,renter cost burden; older adults; seasonal housing pressure; housing cost burden,27.57,93.1,5.48,10.26,51.82,14.55,10.36,62.89,15.02,1.32,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Orland,Hancock,2024,1915,39.33,57.23,34.95,39.0,41.42,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; seasonal housing pressure; older adults,36.82,44.95,7.11,1.76,27.47,14.05,14.83,23.62,16.38,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Oakfield,Aroostook,2024,629,39.3,46.29,54.6,42.78,38.93,monitor and screen after hazard-layer ingestion,disability; seasonal housing pressure; older adults; zero-car households,22.81,21.59,9.22,11.6,36.25,31.8,10.81,26.47,2.81,0.94,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
